,Name,Price,Kms_driven,Fuel_type,Year,Company
536,Maruti Suzuki Alto,378099,27239, Petrol ,2016,Maruti
537,Honda Jazz -,586699,36244, Petrol ,2016,Honda
538,Maruti Suzuki Vitara,906899,69807, Diesel ,2019,Maruti
539,Maruti Suzuki Vitara,882199,31803, Diesel ,2019,Maruti
540,Honda Jazz -,507999,92373, Petrol ,2015,Honda
541,Toyota Etios GD,240000,200000, Diesel,2013,Toyota
542,Ford EcoSport Titanium,825000,46000, Diesel,2016,Ford
543,Toyota Innova 2.5,845000,179000, Diesel,2011,Toyota
544,Hyundai Grand i10,475000,59000, Petrol,2016,Hyundai
545,Hyundai Creta 1.6,1325000,72000, Diesel,2017,Hyundai
546,Hyundai Creta 1.6,1245000,56000, Diesel,2017,Hyundai
547,Mahindra XUV 500,975000,87000, Diesel,2014,Mahindra
548,Maruti Suzuki Vitara,782999,59612, Diesel ,2016,Maruti
549,Ford Ecosport -,623399,30212, Petrol ,2014,Ford
550,Maruti Suzuki Ignis,548699,18113, Petrol ,2018,Maruti
551,Maruti Suzuki Alto,397099,48435, Petrol ,2018,Maruti
552,Maruti Suzuki Wagon,392099,29297, Petrol ,2015,Maruti
553,Maruti Suzuki Wagon,354599,53525, Petrol ,2012,Maruti
554,Honda Amaze -,719599,15890, Petrol ,2018,Honda
555,Honda WR V,834099,31694, Petrol ,2019,Honda
556,Maruti Suzuki Alto,365899,36279, Petrol ,2017,Maruti
557,Hyundai i10 Sportz,400899,33349, Petrol ,2015,Hyundai
558,Toyota Etios Liva,320199,103182, Petrol ,2012,Toyota
559,Hyundai Xcent S,457399,63048, Petrol ,2016,Hyundai
560,Maruti Suzuki Baleno,717699,26358, Petrol ,2017,Maruti
561,Maruti Suzuki Wagon,417299,18932, Petrol ,2017,Maruti
562,Maruti Suzuki Alto,323199,20369, Petrol ,2018,Maruti
563,Honda Jazz 1.2,633999,58769, Petrol ,2016,Honda
564,Ford EcoSport Trend,600000,52000, Diesel,2016,Ford
565,Volkswagen Polo Highline,795000,15000, Petrol,2019,Volkswagen
566,Maruti Suzuki Vitara,1000000,70000, Diesel,2019,Maruti
567,Hyundai i20 Asta,385000,52000, Petrol,2012,Hyundai
568,Hyundai i20 Asta,395000,32000, Petrol,2013,Hyundai
569,Toyota Fortuner 3.0,1750000,155000, Diesel,2015,Toyota
570,Maruti Suzuki Swift,600000,50000, Petrol,2017,Maruti
571,Mahindra Verito Executive,330000,120000, Diesel,2015,Mahindra
572,Hyundai Creta 1.6,875999,123920, Diesel ,2017,Hyundai
573,Hyundai EON -,309399,17900, Petrol ,2016,Hyundai
574,Maruti Suzuki Baleno,658999,31041, Petrol ,2017,Maruti
575,Maruti Suzuki Wagon,514099,61875, Petrol ,2018,Maruti
576,Hyundai Elite i20,672899,29210, Petrol ,2016,Hyundai
577,Mahindra TUV300 -,620099,35826, Diesel ,2016,Mahindra
578,Ford Freestyle -,733999,29364, Petrol ,2019,Ford
579,Renault Triber -,664699,16304, Petrol ,2021,Renault
580,Maruti Suzuki Swift,454299,95731, Petrol ,2015,Maruti
581,Maruti Suzuki Swift,357499,31011, Petrol ,2010,Maruti
582,Maruti Suzuki Swift,447599,30601, Petrol ,2014,Maruti
583,Maruti Suzuki S,422299,14568, Petrol ,2019,Maruti
584,Toyota Etios V,449699,89559, Petrol ,2012,Toyota
585,Hyundai Grand i10,493499,48834, Petrol ,2014,Hyundai
586,Hyundai Elite i20,605699,74190, Diesel ,2014,Hyundai
587,Ford EcoSport Titanium,755099,43077, Petrol ,2016,Ford
588,Maruti Suzuki Swift,490000,58000, Petrol,2015,Maruti
589,Honda City 1.5,450000,99000, Petrol,2011,Honda
590,Tata Indigo CS,160000,88500, Diesel,2009,Tata
591,Chevrolet Beat LT,215000,85000, Diesel,2012,Chevrolet
592,Honda City ZX,1150000,29000, Petrol,2019,Honda
593,Maruti Suzuki Wagon,349000,65000, Petrol,2015,Maruti
594,MG Motors Hector,1401000,16000, Petrol ,2020,MG
595,MG Motors Hector,1401000,16000, Petrol ,2020,MG
596,Maruti Suzuki Eeco,432699,17981, Petrol ,2018,Maruti
597,Maruti Suzuki Eeco,418599,20780, Petrol ,2018,Maruti
